primaryName,AverageVotes
"Ibrahim Ethem Arslan",3443.0000
"Dusty Richards",2103.0000
"John Rebus",9102.0000
"Susea McGearhart",60187.0000
"Kelly Haas",849.0000
"Sutthipong Phanthanalai",678.0000
"Rangsima Aukkarawiwat",678.0000
"James Villeneuve",6991.0000
"Edir Macedo",11890.0000
"Bruno Cancio",636.0000
"Rahul Pakala",11235.0000
"Pushpdeep Bhardwaj",96477.0000
"Chintan Shah",1518.3333
"Anne Lister",2213.0000
"Hirotaka Adachi",1481.0000
"Alejandro Moreno",9019.0000
"Jan Hurst",1796.0000
"Afra Jourablou",759.0000
"Anudeep Singh",8353.0000
"Vankush Arora",661.5000
"Natalya Lebedeva",1870.5000
"Piergiovanni Anchisi",939.0000
"Zhanzhong Huang",1914.0000
"Shahjahan Sourav",1217.0000
"Kwan-Sin Shum",1273.5000
"Joanne Spring",1454.0000
"Anaïs Deban",906.0000
"Arkady Fiedler",2373.0000
"Oleksa Storozhenko",1248.0000
"Cyrille Droux",752.3333
"Timothy Hill",704.0000
"Nella Larsen",16025.0000
"Laksmi Pamuntjak",840.0000
"Mohamed Sayed Bisheer",1823.0000
"Sylvia Kavoukjian",1370.0000
"Allison Buckmelter",908.0000
"Ramkumar Kaavya",4453.0000
"Anthony Catino",1112.8571
"Charan Singh Pathik",1111.5000
"Utsav Sarkar",7850.0000
"Kuo-Li Chang",637.0000
"Yogesh Chandekar",30101.7500
"Savari Muthu",5703.5000
"Anthony Bhagyaraj",10371.0000
Madhusudhan,7696.0000
"Evren Erdogan",2296.6667
"Sam Dolnick",147746.0000
"Louise Kugelberg",38535.0000
"Benfu Zhao",5431.0000
"Paulo Campos",146876.0000
"Abhishek Banerjee",2308.0000
"Ellen Evans",797.0000
"Roshan Bisoi",1363.0000
"Mukunda Das",1546.0000
"Nancy Naigle",1202.2000
"Shabas Rasheed",3066.0000
"Saikumar Reddy",3871.0000
Pizza,1743.0000
"Akshat Ghildial",11424.8000
"José Gómez López",1092.0000
"Darwin Contreras",1092.0000
"Fernando Rivas Sánchez",1092.0000
"Maciej Rzaczynski",1914.0000
"Suhrita Sengupta",33728.3333
"Arati Kadav",3040.0000
"Mario Gomboli",1799.5000
"Ted Thompson",8656.0000
"Yusuke Watanabe",1461.0000
"Damla Serim",1976.2500
"Gabriel Rodriguez",4152.5000
"Nicolas Buckmelter",908.0000
"Justin Torres",4560.0000
"Hilman Bin Muhamad",1275.0000
"Ra Ki Rangarajan",4312.0000
"Eli Saslow",5451.5000
"Yoo-sun Kang",921.0000
"Nihit Bhave",8776.3333
"Danilo Beyruth",1175.0000
"Kouhei Azano",940.0000
"Aidin Sayar Sarie",744.0000
"Evgenia Fakinou",753.0000
Suryas,1038.0000
"Madeleine St. John",7397.0000
"Kira Archer",1211.0000
"Muhammad Fadl",2629.6667
"Giulio Carrieri",2697.0000
"Nazim Ud Daula",2754.0833
"Martha Batalha",9326.0000
"Sergio Martinez",880.0000
"An-Cheol Jeong",3557.0000
"Gyun Heo",3557.0000
"Khaled Spiewak",673.0000
"Anni Baobei",3052.0000
"Peer Meter",1416.0000
"Nathaniel Rich",48133.0000
"Grant Ginder",10153.0000
"Chris Kelly",1072.0000
"Noé Dodson",705.0000
"Frank See",3212.0000
"Zsuzsa F. Várkonyi",1743.0000
"Covis Berzoyne",5994.0000
"Nanda Kishore Emani",973.0000
"Meghvrat Singh Gurjar",1050.7500
"Tms Enterainment",1214.0000
"Raghuram Sreepada",3098.0000
"Jonathan Doyle",3566.0000
"Maria-Denise Teodoru",2319.0000
"Ioana Manea",2319.0000
"Stan Younger",16560.5000
"Sarath R. Nath",996.0000
"Nomaan Khan",666.0000
"Serhat Sari",1118.5000
"M. Serdar Firat",1118.5000
"Nico Walker",35819.0000
"Jardine Libaire",6956.0000
"Jessica Gilmore",1505.0000
"Thomas Nlend Pone",671.0000
"Olivier Cena",693.0000
"Brian O'Donnell",1478.0000
"Sasha Singh",4252.0000
"Abolfazl Kahani",664.0000
"Jessica Koch",1780.0000
"Tomas Bannerhed",676.0000
"Texas Joe Foster",1143.0000
"Jan Kuznik",1764.0000
"Travis Farncombe",4652.0000
"Meltem Inan",625.0000
"Rudi Valinka",4351.0000
"Hilmi Alisanoglu",1159.0000
"Bener Karaçor",1537.5000
"Chaganti Santaiah",2432.0000
"Jeong-mi Lee",1019.5000
Jayaraj,946.0000
"Murali Guinness",946.0000
"Jeevan Job Thomas",741.0000
"Nishank Verma",662.0000
"Akira Shiga",3107.6667
"Anthony J. Wilkinson",1167.0000
"Darnell Metayer",41812.0000
"Shamsudheen Kuttoth",1003.5000
"Marcy Carpenter",1350.0000
"Ed Lin",1419.0000
"Eric Charles Wilkinson",5393.0000
"Scott Davis",767.0000
"Paul Osborne",1506.0000
"Rebecca Banks",118776.0000
"Felicity Evans",11653.0000
"Teresa Southwick",5112.0000
"Xiang Fan",983.0000
"Kiran Dagade Patil",2214.0000
"Kenneth Canio Cancellara",693.0000
"Adamya Bhalla",1501.0000
"Marcell Greeff",6979.0000
"K.S. Sripal Reddy",654.0000
"Sarah Govett",630.0000
"Maxime Rancon",995.0000
"Beihai Zhang",2462.0000
"Sankar Raman",1545.0000
Asami,2213.0000
"Koyoharu Gotouge",17718.2857
"Larry Watson",33522.0000
"Sam Xu",3264.0000
"Vibhav Srivastava",968.5000
"William E. Owen",3057.0000
"Hande Turan",4751.0000
"Ketan Pedgaonkar",5001.0000
"Deniz Yuce",1159.0000
"Ahmet Cetin",3591.0000
"Narayan Dharap",27881.0000
Heo-dam,2567.0000
"Luciana Herrera Caso",1007.0000
"Derek Chan",917.0000
"Nikolay Kovalyov",1247.0000
"Benio Saeki",1541.0000
"Alfred Wetzler",2620.0000
"Meira Anastasia",1166.0000
"Rahsan Çigdem Inan",3689.0000
Ranjith,949.0000
Saneesh,949.0000
"Monica Arac de Nyeko",3195.0000
"Hugh Westman",712.0000
Eban,949.0000
"Bahadir Saglam",903.0000
"Jeong-uk Byeon",2567.0000
"Vanessa Block",84647.0000
"Hope Bryant",4307.0000
"Aaron Dembski-Bowden",1361.0000
"Emily Jenkins",1888.0000
"Leonie Geisinger",1061.0000
"Rajish Mithila",987.0000
"Lee So-mi",633.0000
"Melanie Toast",3453.3333
"Piper Mars",914.0000
"Robin Kumar Singh",1076.0000
"Sylwia Koperska-Mrozinska",5477.0000
"Stacy Connelly",6492.0000
Alai,716.0000
"Aleksa Rsumovic",970.0000
"James Pedersen",2297.0000
"Nani Challagulla",2466.0000
"Daniell Sayooj Nair",7122.0000
"K.S. Aravind",14244.0000
Samrat,1832.0000
"Shubham Ghude",83333.0000
"Suzanne Allain",1897.5000
"Amiel Bartana",1788.0000
"Muhammad Ahmes Avisiena Helvin",700.0000
"Savenia Melinda Sutrisno",700.0000
"Suman Kumar",2918.6667
"Ashish P. Verma",3794.7500
"Yujie Qiu",763.0000
"Maria Mikheleva",1002.0000
"Aditya Sinha",8070.0000
"Karl Dunne",8070.0000
"Hulusi Derici",926.0000
"Dogan Mirdogan",926.0000
"Yu Chen",975.2500
"Saketh Kondiparthi",17158.0000
"Rebecca Dinerstein",2397.0000
"Yesim Aslan",2464.0000
Damao,4105.5000
"Darius Yarmil",4429.0000
"Andrea Chalupa",7517.5000
"Frank Bill",2403.0000
"Tharun Kumar",2251.0000
